url,title,description
http://www.whitehouse.gov/LetGirlsLearn,White House - Let Girls Learn,Needs Description
http://www.usaid.gov/letgirlslearn,US Agency for International Development - Let Girls Learn,Needs Description
http://www.state.gov/s/gwi/,US State Department Office of Global Women's Issues,Needs Description
http://passport.peacecorps.gov/tag/women-and-girls/,Peace Corps Passport,Needs Description
http://files.peacecorps.gov/donate/LetGirlsLearn_FactSheet.pdf,Peace Corps Fact Sheet,Needs Description
http://go.wh.gov/HN1Gkx,White House Fact Sheet,Needs Description
